setosa=50, versicolor=50, virginica=50
setosa=0, versicolor=50, virginica=50
sepal_length	sepal_width	petal_length	petal_width	species
7	3.2	4.7	1.4	versicolor
6.4	3.2	4.5	1.5	versicolor
6.9	3.1	4.9	1.5	versicolor
6.3	3.3	4.7	1.6	versicolor
6.7	3.1	4.4	1.4	versicolor
5.9	3.2	4.8	1.8	versicolor
6	3.4	4.5	1.6	versicolor
6.7	3.1	4.7	1.5	versicolor
6.5	3.2	5.1	2	virginica
6.4	3.2	5.3	2.3	virginica
6.9	3.2	5.7	2.3	virginica
6.7	3.3	5.7	2.1	virginica
6.3	3.4	5.6	2.4	virginica
6.4	3.1	5.5	1.8	virginica
6.9	3.1	5.4	2.1	virginica
6.7	3.1	5.6	2.4	virginica
6.9	3.1	5.1	2.3	virginica
6.8	3.2	5.9	2.3	virginica
6.7	3.3	5.7	2.5	virginica
6.2	3.4	5.4	2.3	virginica
